id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2025,Indian Express - Lifestyle,1,From Mechuka to Deoria Tal: 6 offbeat places for winter camping in the Himalayas,,,Himalayas,https://indianexpress.com/article/lifestyle/destination-of-the-week/from-mechuka-to-deoria-tal-6-offbeat-places-for-winter-camping-in-the-himalayas-10386971/
2,2025,Indian Express - Lifestyle,2,Dakota Fanning reveals why Tom Cruise sends her a pair of shoes for birthday: ‘He kept that tradition going for 20 years’,,,dakota fanning;shoes;Tom Cruise,https://indianexpress.com/article/lifestyle/fashion/dakota-fanning-reveals-why-tom-cruise-sends-her-a-pair-of-shoes-10381926/
3,2025,Indian Express - Lifestyle,3,The internet can’t stop talking about Samantha Ruth Prabhu’s wedding ring — and we get why,,,engagement;engagement ring;ring,https://indianexpress.com/article/lifestyle/fashion/the-internet-cant-stop-talking-about-samantha-ruth-prabhus-wedding-ring-10397879/
4,2025,Indian Express - Lifestyle,4,From kajal to rings: All about the elements of solah shringaar,,,fashion,https://indianexpress.com/article/lifestyle/fashion/these-solah-shringaar-elements-represent-blessings-for-prosperity-fertility-love-protection-and-happiness-10378636/
5,2025,Indian Express - Lifestyle,5,"Gen Z, try and steer clear of performative partners — they promise nothing but confusion and heartbreak",,,dating;relationships;What is the vibe,https://indianexpress.com/article/lifestyle/feelings/gen-z-performative-male-partners-confusion-heartbreak-10384605/
6,2025,Indian Express - Lifestyle,6,‘That’s why they ultimately got separated’: Veteran journalist recalls why Rajesh Khanna didn’t want Dimple Kapadia to work after marriage; psychologist on how such restrictions impact marital health,,,Dimple Kapadia;Dimple Kapadia throwback;marital relationships;marriages;Rajesh Khanna;Rajesh Khanna throwback;relationship,https://indianexpress.com/article/lifestyle/feelings/rajesh-khanna-dimple-kapadia-work-marriage-psychologist-restrictions-impact-10251368/
7,2025,Indian Express - Lifestyle,7,Sargun Mehta is not a fan of those who casually make fun of their partners: ‘Bhootni lag rahi hai…’; how public teasing may be a deal breaker,,,A post shared by Pinkvilla Telly (@pinkvillatelly),https://indianexpress.com/article/lifestyle/feelings/sargun-mehta-casually-fun-partners-joke-expert-10331853/
8,2025,Indian Express - Lifestyle,8,Sonu Sood shares views on why so many couples are drifting apart: ‘A different member has come into your life…’,,,relationships;sonu Sood,https://indianexpress.com/article/lifestyle/feelings/sonu-sood-couples-drifting-apart-less-time-family-expert-9781586/
9,2025,Indian Express - Lifestyle,9,Saina Nehwal shares a glimpse of mother Usha working out in salwar kameez: ‘Coach No. 1 — Mummy!’,,,A post shared by SAINA NEHWAL (@nehwalsaina),https://indianexpress.com/article/lifestyle/fitness/saina-nehwal-mummy-usha-salwar-kameez-workout-surya-namaskar-coach-expert-10386598/
10,2025,Indian Express - Lifestyle,10,"When Hrithik Roshan opened up about longevity, injury struggles: ‘One set would be for four minutes’",,,celeb fitness;Fitness;Hrithik Roshan;injuries;injury;physical fitness,https://indianexpress.com/article/lifestyle/fitness/when-hrithik-roshan-longevity-injury-struggles-one-set-four-minutes-slow-weights-expert-10374003/
11,2025,Indian Express - Lifestyle,11,Kalki Koechlin gives a detailed peek into her diet: ‘Dinner is…’,,,diet;dinner;healthy;Kalki Koechlin,https://indianexpress.com/article/lifestyle/food-wine/kalki-koechlin-diet-dinner-light-salads-expert-9965967/
12,2025,Indian Express - Lifestyle,12,‘Problem isn’t just…it’s the chain reaction it starts’: Nutrition experts decode the second meal effect and how it could affect blood sugar levels,,,Eat healthy;energy;foods;health foods;health risk;healthy diets;healthy eating;meal;meals,https://indianexpress.com/article/lifestyle/food-wine/single-meal-effect-chain-reaction-nutrition-blood-sugar-levels-insulin-experts-10385251/
13,2025,Indian Express - Lifestyle,13,"Upasana Konidela opens up about being a ‘chubby kid’, an ’emotional eater’: ‘I like all that fattening stuff’",,,cravings;eating habits;emotional;health risk;metabolism;mood;weight gain,https://indianexpress.com/article/lifestyle/food-wine/upasana-konidela-emotional-eater-control-urge-upset-sweets-ramcharan-wife-expert-10182192/
14,2025,Indian Express - Lifestyle,14,"When Aditi Rao Hydari spoke about her diet, workouts, and favourite snack: ‘Should have my last meal at 6.30-7 pm’",,,Aditi Rao Hydari;breakfast;digestive disorders;dinner;health benefits,https://indianexpress.com/article/lifestyle/food-wine/when-aditi-rao-hydari-diet-workouts-favourite-snack-last-meal-6-30-7pm-struggle-benefits-expert-10335397/
15,2025,Indian Express - Lifestyle,15,"‘It may sound a little odd, but let me explain’: AIIMS doctor on why drinking more chai in winter may worsen joint stiffness",,,A post shared by 𝘿𝙧 𝘿𝙪𝙨𝙝𝙮𝙖𝙣𝙩 𝘾𝙝𝙤𝙪𝙝𝙖𝙣 𝙊𝙧𝙩𝙝𝙤𝙥𝙚𝙙𝙞𝙘 & 𝙎𝙥𝙤𝙧𝙩𝙨 𝙄𝙣𝙟𝙪𝙧𝙮 𝙎𝙪𝙧𝙜𝙚𝙤𝙣 (@drdushyantortho),https://indianexpress.com/article/lifestyle/health/aiims-doctor-drinking-chai-coffee-winter-worsen-joint-stiffness-10385300/
16,2025,Indian Express - Lifestyle,16,‘What your lungs really prefer is…’: Why pulmonologist cautions against overusing air purifiers at home,,,air pollution;Air Quality;AQI;Delhi air quality;health risk;indoor air pollution,https://indianexpress.com/article/lifestyle/health/clean-air-healthy-moisture-levels-why-pulmonologist-cautions-against-overusing-air-purifiers-homes-expert-10387175/
17,2025,Indian Express - Lifestyle,17,‘We removed 22% of the liver’: Dipika Kakar on being shocked by cancer diagnosis despite a clean and healthy lifestyle; oncologist decodes possible hidden causes,,,Cancer;Dipika Kakar;liver;liver cancer;Oncologists,https://indianexpress.com/article/lifestyle/health/dipika-kakar-liver-cancer-diagnosis-clean-healthy-lifestyle-oncologist-10395503/
18,2025,Indian Express - Lifestyle,18,Orthopedic claims B12 tablet gives ‘false positive results’ compared to injection; internal medicine expert says ‘not necessarily true’,,,health risk;Vitamin;Vitamin B12,https://indianexpress.com/article/lifestyle/health/orthopedic-b12-tablet-false-positive-results-injection-expert-10383379/
19,2025,Indian Express - Lifestyle,19,"Sayani Gupta claims air pollution, rising AQI in Mumbai has affected her voice, sinuses; advocates for right to breathe: ‘It is dire’",,,A post shared by Sayani G (@sayanigupta),https://indianexpress.com/article/lifestyle/health/sayani-gupta-air-pollution-rising-aqi-levels-mumbai-voice-sinus-right-to-breathe-expert-10395614/
20,2025,Indian Express - Lifestyle,20,"‘No matter how much water I drink, I remain thirsty, even when my stomach is almost full. What could this potentially be?’",,,diabetes;urine test,https://indianexpress.com/article/lifestyle/health/water-drink-remain-thirsty-stomach-almost-full-what-could-potentially-be-10374389/
21,2025,Indian Express - Lifestyle,21,‘Jab main Mumbai mein hoti hoon tab meri mom-in-law mujhe champi deti hai’: Sonakshi Sinha shares her haircare routine,,,Sonakshi Sinha,https://indianexpress.com/article/lifestyle/jab-main-mumbai-mein-hoti-hoon-tab-meri-mom-in-law-mujhe-champi-deti-hai-sonakshi-sinha-shares-her-haircare-routine-10138360/
22,2025,Indian Express - Lifestyle,22,"Mira Kapoor praises husband Shahid’s ‘discipline’, says he wakes up ‘before sunrise’: ‘If he has gone to Delhi…’",,,emotional;mira kapoor;partners;relationship;romantic relationships;Shahid Kapoor,https://indianexpress.com/article/lifestyle/mira-kapoor-husband-shahid-kapoor-discipline-wakes-up-before-sunrise-spending-time-children-listen-family-expert-10392496/
23,2025,Indian Express - Lifestyle,23,"Red panda, guinea pigs, and other animals with totally misleading names",,,animals,https://indianexpress.com/article/lifestyle/pets-animals/red-panda-guinea-pigs-other-animals-with-misleading-names-10385143/
24,2025,Indian Express - Lifestyle,24,This species invades other colonies by making the community kill their ‘mother’,,,animal,https://indianexpress.com/article/lifestyle/pets-animals/this-species-invades-other-colonies-by-making-the-community-kill-their-mother-10394671/
25,2025,Indian Express - Lifestyle,25,"‘Instagram is the polished side of me, LinkedIn is the serious one’: How the pressure maintaining multiple identities is draining Gen Z",,,digital era;Gen Z;Identity;mental health;Social media;What is the vibe,https://indianexpress.com/article/lifestyle/pressure-constantly-online-maintaining-multiple-identities-draining-gen-z-10388832/
26,2025,Indian Express - Lifestyle,26,Sara Ali Khan reflects on her bond with mother Amrita Singh: ‘I don’t have any comfort zone’,,,Amrita Singh;biological mother;Bond;Mother;mother and child;Sara Ali Khan,https://indianexpress.com/article/lifestyle/sara-ali-khan-bond-mother-amrita-singh-go-home-hug-her-every-day-comfort-zone-expert-9970507/
27,2025,Indian Express - Lifestyle,27,‘Sleep with onions on your feet’: Viral ‘detox hack’ claims to cleanse your body and boost gut health overnight; experts weighs in,,,A post shared by 𝗠𝗿. 𝗛𝗶𝗴𝗵 𝗟𝗲𝘃𝗲𝗹 (@mr.highlevel_),https://indianexpress.com/article/lifestyle/sleep-onions-feet-viral-detox-hack-cleanse-body-boost-gut-health-expert-10292941/
28,2025,Indian Express - Lifestyle,28,"Sunny Leone opens up about her journey, diet, and new venture: ‘Yes, I’ve definitely tried the menu!’",,,A post shared by Sunny Leone (@sunnyleone),https://indianexpress.com/article/lifestyle/sunny-leone-on-journey-diet-new-venture-yes-i-have-definitely-tried-menu-10383401/
