id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2025,Indian Express - Political Pulse,1,"800 kms from Ayodhya, a Babri Masjid-Ram Mandir replica showdown fuels a fresh political row in Bengal",,,# Babri Masjid;# Humayun Kabir;# Ram Mandir;# West Bengal,https://indianexpress.com/article/political-pulse/800-kms-from-ayodhya-a-babri-masjid-ram-mandir-replica-showdown-fuels-a-fresh-political-row-in-bengal-10395865/
2,2025,Indian Express - Political Pulse,2,"After Bihar blow, why cracks are widening between RJD, Congress",,,# Bihar Assembly elections;# Congress;# Mahagathbandhan;# RJD,https://indianexpress.com/article/political-pulse/after-bihar-blow-why-cracks-are-widening-between-rjd-congress-10399778/
3,2025,Indian Express - Political Pulse,3,"As Winter Session begins, why routine gridlocks may be eroding Parliament’s institutional health",,,# Parliament;# winter session,https://indianexpress.com/article/political-pulse/as-winter-session-begins-why-routine-gridlocks-may-be-eroding-parliaments-institutional-health-10395161/
4,2025,Indian Express - Political Pulse,4,"New UP BJP president name finalised, consensus sought at RSS-Yogi Adityanath meeting",,,# Political Pulse;# Politics North;# UP BJP;# Yogi Adityanath,https://indianexpress.com/article/political-pulse/bjp-president-name-finalised-consensus-sought-rss-yogi-adityanath-meeting-10397036/
5,2025,Indian Express - Political Pulse,5,"Congress leads charge against SIR, but struggles to appoint BLAs in UP to oversee exercise",,,# Congress;# Political Pulse;# Politics North;# Special Intensive Revision;# UP;# UP Politics,https://indianexpress.com/article/political-pulse/congress-sir-parliament-bla-uttar-pradesh-10398758/
6,2025,Indian Express - Political Pulse,6,"After disruptions on Day 1 of Winter Session, Opp, govt dial down rhetoric, may pave way for SIR debate",,,# Parliament;# Political Pulse,https://indianexpress.com/article/political-pulse/disruptions-winter-session-opp-govt-dial-down-rhetoric-sir-debate-10396599/
7,2025,Indian Express - Political Pulse,7,From the Urdu Press: ‘Hindu neighbour’s land gift to Muslim scribe after home demolition defines India’; ‘EC must address BLO deaths’,,,# From the Urdu Press,https://indianexpress.com/article/political-pulse/from-the-urdu-press-hindu-neighbours-land-gift-to-muslim-scribe-after-home-demolition-defines-india-ec-must-address-blo-deaths-10397991/
8,2025,Indian Express - Political Pulse,8,"Gangster links, fake identity trail: How an Akali Dal leader found herself at the centre of Punjab row",,,# Akali Dal;# Political Pulse;# Politics North;# Punjab politics,https://indianexpress.com/article/political-pulse/gangster-links-fake-identity-trail-akali-dal-candidates-daughter-punjab-row-10395189/
9,2025,Indian Express - Political Pulse,9,"In writing, Election Commissioner Sandhu cautioned against harassment of ‘genuine citizens’; final SIR order dropped mention of Citizenship Act",,,# Election Commission,https://indianexpress.com/article/political-pulse/in-writing-election-commissioner-sandhu-cautioned-against-harassment-of-genuine-citizens-final-sir-order-dropped-mention-of-citizenship-act-10396884/
10,2025,Indian Express - Political Pulse,10,Why restoring J&K special status is back on National Conference agenda,,,# article 370;# Budgam;# Jammu and Kashmir;# National Conference (NC);# Omar Abdullah,https://indianexpress.com/article/political-pulse/jk-special-status-national-conferences-agenda-10394654/
